e,x,y,b,t,n,f,c,b,e,e,r,s,s,e,w,p,w,t,e,w,c,w
p,x,y,e,f,y,f,c,n,b,t,r,k,s,w,w,p,w,o,e,w,v,p
e,f,y,u,f,n,f,c,n,h,e,c,s,f,w,w,p,w,o,f,h,y,d
p,x,y,e,f,y,f,c,n,b,t,r,k,s,p,p,p,w,o,e,w,v,d
p,x,y,n,f,f,f,c,n,b,t,e,s,s,p,p,p,w,o,e,w,v,l
p,x,y,n,f,y,f,c,n,b,t,r,k,k,p,p,p,w,o,e,w,v,d
p,x,y,n,f,y,f,c,n,b,t,e,s,k,p,w,p,w,o,e,w,v,l
e,f,s,p,t,n,f,c,b,e,e,r,s,s,w,w,p,w,t,e,w,c,w
e,k,s,p,t,n,f,c,b,e,e,r,s,s,w,e,p,w,t,e,w,c,w
e,x,y,r,f,n,f,c,n,p,e,c,s,f,w,w,p,w,o,f,h,v,d
p,x,y,n,f,s,f,c,n,b,t,r,k,s,w,w,p,w,o,e,w,v,p
p,k,y,n,f,n,f,c,n,w,e,r,k,y,w,n,p,w,o,e,w,v,d
e,x,s,e,t,n,f,c,b,e,e,r,s,s,w,e,p,w,t,e,w,c,w
p,x,y,n,f,y,f,c,n,b,t,r,s,k,w,p,p,w,o,e,w,v,d
e,x,y,b,t,n,f,c,b,e,e,r,s,s,w,e,p,w,t,e,w,c,w
e,x,y,u,f,n,f,c,n,h,e,c,s,f,w,w,p,w,o,f,h,y,d
e,x,s,b,t,n,f,c,b,e,e,r,s,s,w,w,p,w,t,e,w,c,w
p,x,y,n,f,y,f,c,n,b,t,r,k,s,w,p,p,w,o,e,w,v,d
e,k,y,b,t,n,f,c,b,e,e,r,s,s,e,e,p,w,t,e,w,c,w
p,x,y,n,f,s,f,c,n,b,t,r,s,k,p,w,p,w,o,e,w,v,d
p,f,f,y,f,n,f,c,n,w,e,r,k,y,w,y,p,w,o,e,w,v,d
e,f,s,n,t,n,f,c,b,e,e,r,s,s,w,w,p,w,t,e,w,c,w
p,x,y,n,f,y,f,c,n,b,t,r,s,k,p,p,p,w,o,e,w,v,p
e,x,s,b,t,n,f,c,b,w,e,r,s,s,e,w,p,w,t,e,w,c,w
p,x,y,n,f,s,f,c,n,b,t,e,s,s,p,p,p,w,o,e,w,v,l
e,x,y,u,f,n,f,c,n,h,e,c,s,f,w,w,p,w,o,f,h,v,d
e,f,y,b,t,n,f,c,b,e,e,r,s,s,e,e,p,w,t,e,w,c,w
